,Methods,Mean Absolute,Mean Squared,Root Mean Squared,cv Root Mean Squared
1,Linear Regression,172.29005308611463,49368.409797694076,222.19003082427906,1.2398044412417346
2,Support Vector Regression,67.6422916185554,11392.854932297567,106.73731743067917,0.595586578326018
3,Decision Tree,49.168417053494096,11084.956217838748,105.28511869128869,0.5874834134811207
4,Random Forest,47.4997884870917,6757.230625636335,82.20237603400729,0.45868336445835245
5,Random forest (std data),61.01791588250713,9671.527657463406,98.34392537144024,0.5487520524315717
6,Gradient Boosting,53.76516267147954,7677.485862649143,87.62126375857143,0.48892036943369366
7,Extreme Gradient Boosting,40.75618205506882,5478.633608684897,74.01779251426576,0.4130139752429807
8,Bootstrapping,38.1168982501008,5988.582157527551,77.38592997132974,0.4318079407619965
9,Neural Networkds,55.34300700158143,9397.945992766461,96.94300383610187,0.5409350107087713
